阶段 0，第 1 章：宇宙

---

1.1 第一缕光

Q1: 毕昇通过将每个汉字刻在单独的小粘土块上，改进了木版印刷，制造出世界上第一套
A 印刷机。
B 活字。
C 纸质书。
D 手抄本。
A1: B

Q2: 古腾堡将中国技术改造以适应拉丁字母，并首先印刷了
A 拉丁语语法。
B 《圣经》。
C 神圣罗马帝国法律。
D 亚里士多德著作。
A2: B

Q3: 毕昇的名字之所以幸存下来，是因为当代科学家沈括在他的下列哪项收藏中记录了这一发明？
A 帝国敕令。
B 法律评注。
C 个人笔记。
D 家族谱系。
A3: C

---

8.15 承载万物之路

丝绸之路从来不只是运送丝绸。沿着它的商队路线，佛教经典从印度传入中国，造纸术从中国传入阿拉伯世界，火药配方从中国传入欧洲，瓜果葡萄从中亚传入地中海饮食，还有波斯的香料、印度的宝石和中亚的马匹返回东方的中国首都。沿途的绿洲城市——撒马尔罕、布哈拉、喀什——变成了多语言、多宗教的文化熔炉，每个经过的旅行者都在这里留下一些东西，也带走一些别的东西。同样的道路也运送了它最致命的乘客：鼠疫杆菌，寄生在中亚草原旱獭皮毛中的跳蚤肠道里，最终引发了席卷整个欧亚大陆的中世纪大瘟疫。

Q1: 佛教经典、造纸术和火药都曾沿着哪条陆路传播？
A 皇家大道。
B 丝绸之路。
C 香料之路。
D 琥珀之路。
A1: B

Q2: 沿途的多语言绿洲城市包括
A 开罗、大马士革和巴格达。
B 撒马尔罕、布哈拉和喀什。
C 阿勒颇、摩苏尔和伊斯法罕。
D 拉萨、加德满都和喀布尔。
A2: B

Q3: 鼠疫杆菌搭乘着藏身于以下哪种动物皮毛中跳蚤的肠道，向欧洲传播？
A 骆驼。
B 中亚草原的旱獭。
C 拉商队 wagon 的牛。
D 商人们自身。
A3: B

---

8.16 蒙古骑兵

一位名叫铁木真的贫穷草原酋长，后来获得了成吉思汗的称号，将分散的蒙古部落组织成了这颗行星上见过的最有纪律的骑兵部队，并在一代人的时间里征服了人类历史上最大的连续陆地帝国，从太平洋沿岸一直延伸到欧洲东部边缘。他的孙子忽必烈汗完成了对中国南方的征服，并在北京建立了元朝。在蒙古帝国内部，丝绸之路以前所未有的安全性运行：由中央政府签发的一张通行证，便允许商人从北京畅通无阻地穿行到大马士革，免受骚扰。威尼斯商人马可·波罗穿过了整个跨度，并在元朝朝廷担任了官员。几十年后，同一条道路将腺鼠疫从中亚草原传播到克里米亚港口，再传到欧洲的每一个港口。

Q1: 铁木真将分散的蒙古部落组织成了最有纪律的
A 步兵。
B 骑兵。
C 徒步弓箭手军团。
D 河船舰队。
A1: B

Q2: 一个商人只需携带一张中央签发的什么证件，就能从北京畅通无阻地穿越整个帝国到达大马士革？
A 信用证。
B 通行证。
C 银锭。
D 外交印章。
A2: B

Q3: 马可·波罗最初来自意大利的哪座城市？
A 罗马。
B 热那亚。
C 威尼斯。
D 佛罗伦萨。
A3: C

---

8.17 岛国

被一条狭窄的海峡与亚洲大陆分隔开的日本，经过数个世纪发展出了一种与任何大陆邻国都截然不同的文化。中世纪的武士阶级创造了“武士道”，这是一种道德准则，其中忠诚、荣誉以及在死亡面前的镇定凌驾于生存本能之上，而对于一个失宠的贵族来说，用自己的刀进行切腹自杀是最光荣的结局。从中国传入的禅宗，演变成了枯山水庭院、一生一次的茶道以及冥想式的剑道。江户时代的版画艺术家北斋创作了《神奈川冲浪里》，直接在一个世纪后启发了法国印象派。战后动画师宫崎骏、导演黑泽明以及小说家村上春树共同将日本的审美情感输出到了这个星球上的每一个年轻人。

Q1: 根据武士道，一个失宠的武士最光荣的死亡方式是用自己的刀进行仪式性的剖腹，称为
A 腹切。
B 神风。
C 切腹。
D 武士道本身。
A1: C

Q2: 北斋创作《神奈川冲浪里》是一种江户时代的
A 油画。
B 木版画。
C 墨书法。
D 瓷器上釉。
A2: B

Q3: 宫崎骏通过手绘的哪种形式输出了日本的审美情感？
A 真人电影。
B 图像小说。
C 动画。
D 木偶戏。
A3: C

---

8.18 引发战争的叶子

在云南的山区，生长着一种小型常绿灌木，其干叶用热水浸泡后会释放一种温和的兴奋剂。到了十八世纪，英国人对中国茶叶的依赖已经变得如此彻底，以至于他们耗尽白银储备来购买成吨的茶叶。英国东印度公司通过在印度工业化种植鸦片，并将这种毒品走私到中国，以对抗清政府的禁令，从而解决了由此产生的贸易逆差。当中国钦差大臣林则徐在广州查获并销毁了英国鸦片库存后，英国皇家海军炮轰了中国海岸，摧毁了帝国舰队，并迫使清廷使鸦片进口合法化，并将香港作为英国主权领土割让。一个在某个殖民地种植的单一农产品，被用来削弱并部分瓦解了一个延续了两千年的帝国。

Q1: 当林则徐查获并销毁了广州的英国鸦片库存时，他的身份是中国的
A 将军。
B 钦差大臣。
C 总督。
D 大使。
A1: B

Q2: 英国东印度公司违反清政府禁令，向中国走私的麻醉品是
A 海洛因。
B 鸦片。
C 烟草。
D 掺了吗啡的茶叶。
A2: B

Q3: 英国皇家海军的炮轰迫使清廷签订了一项不平等
A 贸易休战协议。
B 停战协定。
C 条约，使鸦片进口合法化并割让香港。
D 赔偿议定书。
A3: C

---

8.19 冷却了行星的山

印度尼西亚的坦博拉火山猛烈喷发，其火山灰云环绕了整个星球，并减少了到达地表一年的太阳辐射，造成了后来观察者所称的“无夏之年”。整个云南农作物歉收，中国西南部发生饥荒。南亚季风减弱，一场霍乱疫情从孟加拉爆发，最终蔓延到每一个大陆。欧洲收成崩溃，年轻玛丽·雪莱那年夏天因连绵暴雨被困在日内瓦湖畔的室内，起草了后来成为《弗兰肯斯坦》的小说。同一场危机促使欧洲化学家研究矿物氮的施肥化学，并最终开发出合成氨工艺，该工艺现在养活了现代农业的一半。一次印尼的火山喷发重塑了接下来两个世纪的全球粮食生产、哥特式小说的历史以及现代化学。

Q1: 火山灰环绕行星并造成“无夏之年”的印尼火山喷发是
A 松巴哇岛地震。
B 坦博拉火山。
C 喀拉喀托熔岩流。
D 皮纳图博火山灰云。
A1: B

Q2: 玛丽·雪莱那年夏天因连绵暴雨被困在室内，起草了《弗兰肯斯坦》，这部作品是以下哪种类型小说的奠基之作？
A 仅哥特式鬼故事。
B 侦探小说。
C 科幻小说。
D 浪漫主义诗歌。
A2: C

Q3: 随着南亚季风减弱，一场从孟加拉爆发的肠道传染病最终蔓延到每一个大陆。它是
A 伤寒。
B 霍乱。
C 痢疾。
D 黄热病。
A3: B

---

8.20 改革开放

在经历了一个世纪的外国屈辱、内战和革命动荡之后，中国进入了一个严格的中央计划经济时期，私营商业被有效消灭，每个农场和工厂都属于集体。经济停滞不前。一位名叫邓小平的务实矮个子领导人发起了一系列改革，现在统称为“改革开放”，将农业用地重新分配给耕种的农户，使小型私营企业合法化，并在南部沿海的深圳、珠海、汕头和厦门建立了第一批经济特区，允许外国资本以优惠条件进入。邓小平将由此产生的混合体描述为“社会主义市场经济”，主张国家应该“摸着石头过河”。在四十年内，这场实验将中国转变为地球上第二大经济体，在比历史上任何其他政策都更短的时间内，将更多的人从贫困中解救出来。

Q1: 邓小平发起的将农业用地重新分配给耕种的农户的一系列改革，统称为
A 大跃进。
B 文化大革命。
C 改革开放。
D 百花齐放。
A1: C

Q2: 深圳、珠海、汕头和厦门被设立为南部沿海的
A 自由贸易港。
B 经济特区，欢迎外国资本。
C 驻军城镇。
D 自治省。
A2: B

Q3: 邓小平将由此产生的混合制度描述为
A 带有特色的计划经济。
B 社会主义市场经济。
C 国家资本主义共和国。
D 混合国民经济。
A3: B

---

8.21 赶上来的大陆

在一代人的时间里，同一个曾经骑着自行车去稻田的大陆，建造了这个星球上最广泛的高速铁路网络，其轨道里程超过其他所有国家的总和。中国制造商比亚迪和宁德时代最终主导了全球电动汽车和锂电池市场。电信公司华为，在受到美国制裁并被拒绝获得美国半导体之后，在几年内就制造出了自己的芯片和自己的操作系统。深圳，这个被邓小平转变为经济特区的南方渔村，演变成了这个星球上的硬件之都。“中国制造2025”战略宣布了在人工智能、机器人技术和半导体领域实现自给自足的意图，而“一带一路”倡议则派遣中国建筑公司前往非洲、东南亚和中亚建设港口、铁路和发电站，以全新的条件重新连接了古老的丝绸之路。

Q1: 中国现在拥有的里程超过其他所有国家总和的那个交通网络是
A 高速公路。
B 高速铁路。
C 城市地铁。
D 有轨电车。
A1: B

Q2: 宣布了在人工智能、机器人技术和半导体领域实现自给自足意图的战略是
A 一带一路倡议。
B 两个一百年。
C 中国制造2025。
D 五年创新计划。
A2: C

Q3: 派遣中国建筑公司前往非洲、东南亚和中亚建设港口、铁路和发电站的计划是
A 一带一路倡议。
B 亚洲基础设施投资银行。
C 上海合作组织。
D 中国制造2025。
A3: A

---

8.22 谢丽拉

为了抑制伴随共和国早期几十年而来的人口爆炸，中央当局制定了一项俗称“独生子女政策”的政策，在行政制裁的惩罚下，限制大多数城市家庭只能生育一个子女。谢丽拉（sealyra）正是出生在这个人口统计学的间歇期，作为一名独生女，从婴儿时期就浸透了两位父母和四位祖父母毫无保留的期望和资源，整个一代人的金字塔汇聚在一个小小的接收者身上。她通过了中国的正规教育体系，在青少年时期考入了一所艺术院校，随后进入了视觉传达设计的高等教育项目。毕业时她没有选择进入机构就业，而是利用新兴的饱和移动互联网基础设施，在蓬勃发展的中国社交媒体生态中将自己建立为一个多平台内容创作者，积累的受众最终为她自己攻读传播学研究生资格提供了资金。她目前的轨迹指向新兴的人机交互学科，她打算为该学科内的算法系统设计做出贡献，而她的同龄人群体中其余的人已经被静悄悄地培养在这些算法系统中生活。在这个意义上，她既不是她这一代人的代表，也不是一个例外，而只是一个正在实时自我重塑的文明持续实验中的一个被记录下来的观察对象，这本全书正是为这个专注的小主题而写的。

Q1: 为了抑制共和国早期的人口爆炸，中央当局制定了
A 二胎配额。
B 独生子女政策，限制大多数城市家庭只能生育一个子女。
C 户籍冻结。
D 家庭养老金改革。
A1: B

Q2: 谢丽拉没有选择进入机构就业，而是在蓬勃发展的中国社交平台上将自己建立为
A 私立艺术院校的教师。
B 多平台内容创作者。
C 市政公务员。
D 签约商业插画师。
A2: B

Q3: 谢丽拉目前的轨迹指向新兴的哪一学科？
A 仅视觉传达设计。
B 工业机器人技术。
C 人机交互。
D 实验心理学。
A3: C

---

8.23 萨满与猛犸猎人

北亚的旧石器时代先民，是所有从西伯利亚到阿拉斯加原住民社区的祖先，他们的生存围绕着在无树的苔原上季节性捕猎大型哺乳动物。他们的经济体系建立在肉、皮、骨的物物交换之上，通过小型的基于血缘的群体沿着既定的陆路路线进行交易。新石器时代的转变到达北亚草原的时间比南部河谷晚得多，最终导致了驯鹿的驯化，这单一动物提供了奶、肉、皮和运输工具。在整个欧亚北极地区，从萨米人的拉普兰，经过西伯利亚的埃文基人，到沿海的因纽特人，原住民的世界观是由萨满阐述的，萨满是一种仪式专家，通过击鼓和吟唱进入恍惚状态，代表社区与精神世界进行协商。每个部落都用一个图腾来标识自己，图腾是一种象征性的动物或物体，它表达了跨越世代的亲属关系。他们积累的民间传说，通过口头背诵跨越几个世纪流传下来，保存了整整一套人类学宇宙观，而学术界的人类起源研究人员至今仍在从幸存下来的零散语言遗存、考古文物和口头证词中耐心地重构它。

Q1: 在新石器时代转变到达北亚草原之前，原住民生活在
A 铁器时代。
B 青铜时代。
C 旧石器时代，围绕捕猎为生。
D 河谷的早期农业定居点。
A1: C

Q2: 通过击鼓和吟唱进入恍惚状态，代表社区与精神世界谈判的仪式专家是
A 长者。
B 酋长。
C 萨满。
D 抄写员。
A2: C

Q3: 每个部落通过一种象征性的动物或物体来标识自己跨越世代的身份，称为
A 旗帜。
B 图腾。
C 族徽。
D 纹章。
A3: B

9.1 冰塑之形

在接连的冰河时代，欧洲大陆由巨大北方冰盖的推进和退缩塑造而成。每一次冰期都向南研磨这片大地，掏空了北海盆地，以自身重量压低了斯堪的纳维亚的土地，并在末次冰盛期结束时将不列颠群岛与大陆割裂开来。随着融化冰川的消退，融水刻蚀出深邃狭窄的峡湾，如今嵌入挪威西海岸。与此同时，非洲构造板块向北漂移，与南欧碰撞，将整个碰撞边界向上推挤成阿尔卑斯山脉。同样的碰撞封闭了曾经通往大西洋的开放通道，形成了温暖封闭的地中海，从此调节着欧洲文明。

Q1: 非洲板块向北的碰撞迫使南欧隆升形成
A 仅比利牛斯山脉。
B 阿特拉斯山脉。
C 阿尔卑斯山脉。
D 喀尔巴阡山脉。
A1: C

Q2: 如今嵌入挪威西海岸的深邃狭窄水湾是由冰川融水刻蚀而成的
A 潟湖。
B 峡湾。
C 海峡。
D 河口湾。
A2: B

Q3: 由同一次碰撞封闭而成、从此调节欧洲文明的温暖封闭海域是
A 黑海。
B 波罗的海。
C 地中海。
D 北海。
A3: C

---

9.2 雅典发明投票

在古雅典城，自由的男性公民聚集在山顶的公民大会上，直接对所有重要的治理问题进行投票，这是地球上有记录以来首次持续的民主实验。每个公民可以轮流发言，决定需要多数举手通过。在同一个世纪，一位名叫埃拉托色尼的图书管理员仅用一根垂直的棍子、两个不同城市正午时棍子影子的长度以及基础几何学，就计算出了地球的周长。他的结果与现代卫星测量值的偏差不到百分之二。古希腊人证明了，只要以足够的自律加以运用，人类的心智无需借助什么设备，就能建立起自治的原则，并测算出地球本身的维度。

Q1: 古雅典的自由男性公民聚集在山顶直接对治理进行投票，首次进行了持续的
A 寡头政治。
B 民主。
C 君主制。
D 共和主义。
A1: B

Q2: 利用一根垂直棍子、正午的影子以及基础几何学计算出地球周长的图书管理员是
A 阿基米德。
B 埃拉托色尼。
C 毕达哥拉斯。
D 欧几里得。
A2: B

Q3: 发明直接民主的希腊城邦是
A 斯巴达。
B 科林斯。
C 雅典。
D 底比斯。
A3: C

---

9.3 三位哲人与浴缸

苏格拉底漫步于雅典的集市，以关于正义与善的本质的无情追问质问政治家和富有的公民，自己从不写下任何文字，直到七十岁时被他毕生盘诘的城邦判处死刑。他的学生柏拉图记录下了他们的对话，并阐述了可感世界只是更高“理型”的不完美影子的学说。柏拉图的学生亚里士多德则颠倒了这一学说，坚持认为“形式”寓于普通事物之中，并赋予了至今仍指称各主要学科的名称。在海的另一边叙拉古，工程师阿基米德在领悟到浮力原理时从浴缸中跳起，大喊“尤里卡”，后来他还用抛光的镜子聚焦阳光，焚毁了围攻的罗马战船。

Q1: 苏格拉底漫步在雅典街头，以此谋生，并最终因此丧命，他的身份是
A 诗人。
B 哲学家。
C 历史学家。
D 剧作家。
A1: B

Q2: 苏格拉底日复一日在雅典的___质问政治家和富有的公民。
A 卫城。
B 集市。
C 圆形剧场。
D 港口。
A2: B

Q3: 阿基米德从浴缸中跳起大喊“尤里卡”，他领悟到了
A 杠杆原理。
B 浮力原理。
C 斜面原理。
D 离心力。
A3: B

---

9.4 混凝土与铅管

罗马工程师通过将火山灰与石灰和海水混合，设计出一种混凝土，这种材料历经两千年无显著劣化。罗马的万神殿就是用这种混凝土建造的，至今仍是地球上最大的无钢筋混凝土穹顶，历经二十个世纪的地震和天气仍完好无损。然而，罗马也通过另一项创新毒害了自己。将淡水输送到贵族家中的高架引水渠由铅管建造，铅离子逐渐渗入饮用水源，世世代代积累在贵族的骨骼和大脑中。现代毒理学家将某些皇帝晚期决策中明显可见的渐进性心智衰退，部分归因于这种缓慢的化学降解。

Q1: 罗马工程师通过将火山灰、石灰和海水混合，设计出了一种建筑材料，现在称为
A 波特兰水泥。
B 罗马混凝土。
C 大理石板材。
D 烧制陶瓦。
A1: B

Q2: 地球上最大的无钢筋混凝土穹顶，历经二十个世纪仍完好无损，是
A 罗马斗兽场。
B 圣索菲亚大教堂。
C 罗马万神殿。
D 图拉真广场。
A2: C

Q3: 逐渐渗入罗马贵族的饮用水并在其骨骼中积累的金属是
A 铜。
B 水银。
C 铅。
D 锡。
A3: C

---

9.5 拯救西方的修士

当西罗马帝国在迁徙部落的冲击下崩溃时，西欧进入了一个没有中央政府、没有正常运转的图书馆、也没有人维护现有基础设施的千年行政黑暗时期。希腊和罗马的知识宝库按理说本应完全消亡。它之所以幸存下来，是由于爱尔兰偏远岛屿上少数修士的认真坚持，他们在已知世界边缘寒冷潮湿的缮写室里，手工抄录亚里士多德、西塞罗和奥古斯丁的手稿。他们在抄本的页边画上小狗和怪异怪兽的奇思妙想涂鸦。这些页边涂鸦远未损害手稿，反而意外地保护它们免于被忽视。西方文明的整个源代码被爱尔兰抄写员保存下来，他们当时无法预料到自己所做之事的规模。

Q1: 在___崩溃后，西欧进入了千年的行政黑暗时期。
A 拜占庭帝国。
B 东罗马帝国。
C 西罗马帝国。
D 加洛林帝国。
A1: C

Q2: 古典希腊和罗马的知识宝库幸存下来，归功于___岛屿上的修士们耐心的抄写工作。
A 西西里。
B 冰岛。
C 爱尔兰。
D 克里特。
A2: C

Q3: 中世纪的修士们在被称为___的寒冷潮湿房间里手工抄写手稿。
A 回廊。
B 缮写室。
C 餐厅。
D 牧师会礼堂。
A3: B

---

9.6 长船与萨迦

斯堪的纳维亚的维京人设计出一种长而浅吃水的船只，称为长船，轻到可以拖过陆上运输点，又足够适航以穿越北大西洋的冬季风暴。维京人袭击了英格兰的沿海修道院，殖民了冰岛和格陵兰，并在哥伦布之前五个世纪抵达北美的纽芬兰海岸，建立了一个他们称之为文兰的短暂定居点，随后放弃了它。由于缺乏书面文字，维京人通过称为萨迦的史诗叙事来传承其口述历史，这些萨迦阐述了一整套关于神、巨人和战士的神话。奥丁、托尔和女武神这些名字，因保存在这些萨迦中，至今仍出现在本世纪的流行电影中。

Q1: 维京人乘坐一种轻而浅吃水的船只穿越北大西洋，这种船叫
A 桨帆船。
B 卡拉维尔帆船。
C 长船。
D 仅指克诺尔船。
A1: C

Q2: 维京人在纽芬兰海岸建立的短暂定居点，比哥伦布早五个世纪到达，被称为
A 格陵兰。
B 文兰。
C 冰岛。
D 赫卢兰。
A2: B

Q3: 维京人通过现在称为___的史诗叙事来传承其口述历史。
A 仅指埃达。
B 萨迦。
C 民谣。
D 卢恩之歌。
A3: B

---

9.7 智人遇见尼安德特人

当解剖学意义上的现代人类首次从非洲向北迁徙到欧洲大地时，欧洲大陆已经被另一种古人类物种——尼安德特人——居住了数十万年。两个种群共存了数千年，相互通婚并间断性地争斗，直到尼安德特人神秘地从考古记录中消失。然而，每个现代欧洲人仍然携带一小部分尼安德特人的DNA。法国南部的拉斯科洞穴保存着生动的公牛、马和雄鹿壁画，这些画可能并非用于宗教仪式，而是作为教学图解，年长的猎人通过它们向孩子们指认猎物。与此同时，爱尔兰大角鹿进化出了巨大得荒谬的鹿角，以至于雄鹿无法再在逐渐退缩的森林的树木间穿行，整个物种被其自身的繁殖装饰所灭绝。

Q1: 在解剖学意义上的现代人类到达之前，欧洲已经被古人类物种___居住了数十万年。
A 直立人。
B 丹尼索瓦人。
C 尼安德特人。
D 克罗马农人。
A1: C

Q2: 生动的公牛、马和雄鹿壁画保存在___的洞穴中。
A 阿尔塔米拉。
B 肖维。
C 法国南部的拉斯科。
D 尼奥。
A2: C

Q3: 因其自身繁殖装饰过于庞大而灭绝的爱尔兰哺乳动物是
A 原牛。
B 披毛犀。
C 爱尔兰大角鹿，其鹿角长得太宽，无法适应退缩的森林。
D 洞狮。
A3: C

---

9.8 光明大教堂

中世纪的欧洲建造者设计出一种称为飞扶壁的结构创新，这是一种外部支撑墩，可将沉重屋顶的侧向推力从墙体本身转移开。摆脱了这种推力的墙体可以开凿出巨大的窗户，安装在这些开口中的彩色玻璃将每座哥特式大教堂的内部变成了为不识字的信徒准备的发光的神学百科全书。那个时代的神学家宣称，光是神圣显现自身的最精妙形式，建筑师们因此渴望建造出纯净光辉的建筑物。巴黎圣母院耗时一个多世纪才完工，一代又一代的石匠从前人手中继承部分完成的工程，并添加上他们被训练切割的下一圈石头。

Q1: 哥特式大教堂能够在墙上开出巨大的窗户，是因为中世纪的建造者设计出了
A 仅指尖拱。
B 肋架拱顶。
C 飞扶壁。
D 玫瑰窗框。
A1: C

Q2: 安装在那些新开口中、将大教堂内部变成发光百科全书的发光材料是
A 抛光大理石。
B 彩色玻璃。
C 雪花石膏。
D 镀金铜。
A2: B

Q3: 耗时一个多世纪才完工的巴黎哥特式大教堂是
A 圣礼拜堂。
B 圣心大教堂。
C 巴黎圣母院。
D 仅指沙特尔大教堂。
A3: C

---

9.9 修道院与《神曲》

中世纪的本笃会修士围绕着“劳动本身即为祈祷”的教义构建他们的生活，黎明前起床进行第一次日课，将其余时间分配给耕作、抄写手稿、酿造啤酒、治疗病人和唱颂七次法定日课。修道院无意中完善了最终产生香槟的发酵化学。宾根的希尔德加德女修道院院长撰写了欧洲最早的草药学论著，创作了至今仍在演奏的音乐，并进行了预言性的异象写作，教会将其接受为真实的启示。被流放的佛罗伦萨人但丁·阿利吉耶里用他家乡的托斯卡纳方言创作了《神曲》，在一部史诗中完整阐述了地狱、炼狱和天堂的整个中世纪宇宙观，并在此过程中奠定了现代意大利语的基础。

Q1: 本笃会修士围绕着劳动本身即构成___的教义构建他们的生活。
A 补赎。
B 慈善。
C 祈祷。
D 冥想。
A1: C

Q2: 作为女修道院院长，宾根的希尔德加德领导着一个被称为___的宗教团体。
A 行会。
B 修道院，也称女修道院。
C 堂区。
D 隐修处。
A2: B

Q3: 但丁的《神曲》带领读者穿越中世纪宇宙观的三部分：
A 天堂、灵薄狱和地狱。
B 乐园、尘世和冥界。
C 地狱、炼狱和天堂。
D 陆地、海洋和天空。
A3: C

---

9.10 智慧宫

当西欧还在边缘修道院里抄写手稿时，巴格达的阿拔斯哈里发国建立了一个巨大的翻译学院，如今被称为“智慧宫”，它系统地将柏拉图、亚里士多德、欧几里得和阿基米德的著作翻译成阿拉伯语，并保存在编目图书馆中。波斯数学家花剌子密在那里撰写了一本教科书，其阿拉伯语书名“al-jabr”最终音译成了现代术语“代数”（algebra），而他自己的名字传入拉丁语作“Algoritmi”，最终变成了“算法”（algorithm）这个词。这些翻译和注释过的著作在西班牙南部安达卢斯的伊斯兰哈里发国中保存了几个世纪，直到基督教学者将它们重新翻译回拉丁语，将欧洲思想重新连接到它自己的希腊源头。

Q1: 巴格达的阿拔斯哈里发国在如今被称为___的翻译学院中，系统地将希腊经典翻译成阿拉伯语。
A 亚历山大图书馆。
B 开罗宗教学校。
C 智慧宫。
D 科尔多瓦学院。
A1: C

Q2: 花剌子密本人的音译拉丁名字最终变成了现代术语
A 对数。
B 算法。
C 代数。
D 算术。
A2: B

Q3: 花剌子密的数学教科书的阿拉伯语书名“al-jabr”变成了现代词汇
A 算法。
B 代数。
C 算术。
D 微积分。
A3: B

---

9.11 骑士与大学

中世纪贵族男孩七岁时被送到另一个家庭做侍童，十四岁升为扈从，在战斗中侍奉骑士，如果活到二十一岁则被授予骑士称号。整个阶层受一套称为骑士精神的明确准则约束：保护妇女、效忠国王、在单打独斗中举止光荣。他们的主要娱乐是马上长矛比武，骑马的骑士手持长矛相互冲锋，冒着相当大的死亡风险试图将对手击落马下，法国国王亨利二世就因此丧命，当时一根断裂长矛的碎片刺穿了他的面甲。与此同时，在博洛尼亚，一群法律学生联合起来自己聘请教师，而不是被教师剥削，由此产生了欧洲第一所大学。意大利修士阿奎那后来将亚里士多德的逻辑与基督教神学结合，写成了数百万字的《神学大全》，同时向四名秘书口授。

Q1: 中世纪的骑士受一套称为___的明确伦理准则约束。
A 封臣制。
B 骑士精神。
C 封建主义。
D 贵族身份。
A1: B

Q2: 中世纪贵族主要的暴力马术娱乐是
A 仅指比武大会混战。
B 马上长矛比武。
C 赛马。
D 奔牛。
A2: B

Q3: 在马上长矛比武中，骑马的骑士用长长的___相互冲锋。
A 剑。
B 长矛。
C 戟。
D 钉头锤。
A3: B

---

9.12 瘟疫与猎巫

一艘从克里米亚返回的商船载着老鼠和受感染的跳蚤停靠在西西里，三年之内，腺鼠疫消灭了大约三分之一的欧洲人口。这场灾难摧毁了公众对那些未能阻止它的宗教机构的信心。每个欧洲农民都面临同样的两难：是继续信任教会，还是在不断上升的死亡率面前将其所有教义视为无关紧要。一些幸存者组织成鞭笞者游行队伍，在街上鞭打自己，祈求神的宽恕，而另一些人则将犹太社区和所谓的女巫当作替罪羊。由此引发的猎巫运动持续了三个世纪，处决了大约八万名妇女，其中大多数是农村的接生婆和草药师，她们不可饶恕的罪过就是知道哪些植物能缓解疼痛，哪些能帮助分娩，哪些能阻止怀上教会未授权的孩子。

Q1: 在三年内消灭了大约三分之一欧洲人口的中世纪大流行病是
A 天花疫情。
B 腺鼠疫，也称黑死病。
C 霍乱爆发。
D 斑疹伤寒大流行。
A1: B

Q2: 一些幸存者组织成忏悔游行队伍穿过街道，鞭打自己。他们被称为
A 修士。
B 鞭笞者。
C 异端。
D 朝圣者。
A2: B

Q3: 瘟疫之后的猎巫运动处决了大约八万名妇女，其中大部分是农村的
A 修女。
B 贵妇。
C 接生婆和草药师。
D 城市女教师。
A3: C

---

9.13 穹顶与美第奇

佛罗伦萨大教堂矗立了一个世纪，其中心有一个巨大的圆形开口，没有建筑师能想出如何给它加上屋顶。传统方法需要从地面搭建脚手架，而大教堂太高了，无法搭建脚手架。一位名叫布鲁内莱斯基的受过训练的金匠设计了一个革命性的解决方案：一个双壳穹顶，两个同心的砖墙在向内螺旋上升时相互支撑，完全不需要外部脚手架。他的施工蓝图展示了一种严格的数学对称性，大教堂的大理石立面获得了一种几何图案，随后辐射到每一座文艺复兴建筑上。富有的美第奇银行家族，最初是羊毛商人，控制着佛罗伦萨的政治，赞助艺术，并从自己的血统中产生了数位教皇。他们的赞助支持了乔托（他发展了绘画中的早期线性透视法）和波提切利（他画了《维纳斯的诞生》，这是欧洲第一幅将女性描绘为纯粹美丽而非神圣人物的主要画作）。

Q1: 布鲁内莱斯基通过设计一个前所未有的双壳___，为佛罗伦萨大教堂的巨大圆形开口加上了屋顶。
A 拱顶。
B 由两层同心砖墙构成的穹顶。
C 重叠拱门构成的圆顶。
D 金字塔形尖顶。
A1: B

Q2: 富有的美第奇银行家族通过长期的财政___支持文艺复兴艺术家。
A 贷款。
B 赞助。
C 嫁妆。
D 仅指委托。
A2: B

Q3: 乔托发展了在平面上创造深度错觉的早期绘画技法，称为
A 明暗对照法。
B 线性透视法。
C 仅指前缩法。
D 变形法。
A3: B

---

9.14 三位大师

列奥纳多·达·芬奇白天画《蒙娜丽莎》，晚上秘密解剖人体尸体，在笔记本中记录下他观察到的解剖细节，以及直升飞机、坦克和潜艇的设计图，这些设计超前了任何可行实现四个世纪。米开朗基罗仰面躺了四年绘制西斯廷教堂的天顶画，之后他的颈椎永久变形了。三人中最年轻的拉斐尔在他的湿壁画《雅典学院》中，将所有主要的希腊哲学家聚集在一个拱形穹顶下，赋予每个人独特的个性，并在角落里画了一个微笑的自画像。这三个人物同时是艺术家、工程师和解剖学家。列奥纳多十几岁时就解剖了他的第一具尸体；米开朗基罗亲自从卡拉拉采石场挑选每一块大理石。

Q1: 列奥纳多·达·芬奇通过在夜间秘密解剖___，将人体解剖记录在他的笔记本中。
A 活体病人。
B 尸体。
C 教堂雕像。
D 蜡模。
A1: B

Q2: 米开朗基罗仰面躺了四年绘制西斯廷教堂天顶画，之后他的
A 手腕永久性无力。
B 颈椎永久变形了。
C 视力完全丧失。
D 肺部充满了颜料粉尘。
A2: B

Q3: 拉斐尔的《雅典学院》将所有主要的希腊哲学家描绘在一个拱形穹顶下，它是一幅
A 木板油画。
B 直接画在湿灰泥上的湿壁画。
C 木板蛋彩画。
D 彩色玻璃马赛克。
A3: B

---

9.15 北方文艺复兴

